0.0.0.0, IP 	
195.26.87.219,IP
185.236.228.183,IP
85.239.63.160,IP
193.105.134.58,	IP
146.0.74.16,IP
91.231.186.226,IP
91.222.174.41,IP
185.38.142.249,IP
51.89.156.153,IP
176.31.90.129,IP
137.74.181.100,IP
193.36.119.45,IP
185.158.248.159,IP
131.153.78.188,IP
37.143.130.146,IP
146.70.157.45,IP
185.195.200.39,IP
185.38.142.229,IP
146.70.121.44,IP
31.42.177.181,IP
185.51.134.52,IP
173.44.226.70,IP
45.14.227.233,IP
185.236.231.109,IP
178.73.220.149,IP
45.14.227.212,IP
91.222.173.225,IP
146.70.35.168,IP
146.70.157.213,IP
31.42.177.201,IP
5.252.176.8,IP
80.85.158.215,IP
193.149.129.88,IP
5.252.178.68,IP
116.202.251.8,IP
